,Actb,Ahcy,Aqp3,Atp12a,Bmp4,Cdx2,Creb312,Cebpa,Dab2,DppaI,Eomes,Esrrb,Fgf4,Fgfr2,Fn1,Gapdh,Gata3,Gata4,Gata6,Grhl1,Grhl2,Hand1,Hnf4a,Id2,Klf2,Klf4,Klf5,Krt8,Lcp1,Mbnl3,Msc,Msx2,Nanog,Pdgfa,Pdgfra,Pecam1,Pou5f1,Runx1,Sox2,Sall4,Sox17,Snail,Sox13,Tcfap2a,Tcfap2c,Tcf23,Utf1,Tspan8
1,0.54104963,-1.203007,1.0307459,1.06480829,0.49478217,-0.167143,-1.3690919,1.08306061,0.66805714,-1.553758,1.68605338,-1.1124842,0.76701574,-1.5076119,1.03975017,-0.5410496,1.11152642,-1.3374318,0.70709371,-3.2773216,-0.0856295,1.10601257,-2.0247281000000004,-0.7705506,-0.5963331000000001,-0.5798059,2.57398738,-0.1622362,-0.18743859999999998,-0.41566759999999997,1.12815714,-0.8434204,1.65181679,-0.6668318,0.20893788,-1.8603776,-1.2573052,0.32148803,-1.3517566,-1.7934756,0.78318477,-1.4080629999999998,-0.0319915,-0.3512566,-1.0789819,0.94298074,1.34889166,-1.0519986000000001
1,0.68083228,-1.3553056,2.45637511,1.23435037,0.64549383,1.00386781,-1.2075953000000001,1.20802268,0.80038831,-1.4353056999999998,1.00641292,-1.2067516999999999,0.86631865,-1.3936121000000001,1.16112668,-0.6808321999999999,0.9445408000000002,-1.3081628,1.62131324,-3.1773078,-0.18676500000000001,0.22071483,-1.9388931,-0.5713423000000001,-0.6015418,-0.6677776999999999,2.75807266,-0.8812426,-0.0400995,-0.030561400000000002,1.29055283,0.92094015,0.51500862,-0.7283149999999999,0.97155324,-1.8738461,-1.1926119,1.69629964,-1.3635325,-1.7821718999999998,1.53247724,-1.3611722,-0.5017148,1.08236159,-0.930112,1.0643987,1.46939677,-0.9962753000000001
1,1.05603837,-1.2804468999999998,2.0461334,1.43979549,0.8281209,0.98340354,-1.4600316999999998,1.35944729,0.53070075,-1.3402835,1.58461451,-1.0685788,0.98665042,-1.2279897,1.30820645,-1.0560383,1.09945517,-1.2103205,1.68538675,-3.0550687,0.34357957,1.30775315,-1.6673743000000003,-0.7125031999999999,-0.4275705,-0.36816370000000004,2.98114069,-0.9264540000000001,-0.45854229999999996,-0.0622368,1.48733821,-0.9611796999999999,0.76098466,-0.6349516,0.16103808,-1.7281421000000001,-1.0160165,1.86230854,-1.2968022,-1.5674016000000002,3.19415739,-1.3017771999999999,-0.44521890000000003,0.03128441,-1.0057672,1.21152871,1.61542062,-0.6513931
1,0.73233116,-1.3269109,2.46423414,1.24432344,0.65435922,0.94702262,-1.2656086000000002,1.21537339,0.76521167,-1.4314007,0.55805309,-1.1460589,0.87216,-1.5549326,1.16826648,-0.7323311,1.43342643,-1.2655136,1.09778582,-3.1788952999999998,0.12157483,1.20259051,-1.6603672999999999,-0.6359861,-0.4171531,-0.7480996999999999,2.7689012,-0.7864445999999999,-0.0027737,0.23451163,1.30010552,-0.46577820000000003,0.67323104,-0.6212886,0.82911434,-1.8309919999999997,-1.2013542,1.70435832,-1.6840997,-1.9155556,2.96251492,-1.34971,1.87595661,1.69989221,-1.059458,1.07154094,1.47648531,-0.6995863
1,0.62933341,-1.2443083000000001,1.31681482,1.30416182,0.70755157,1.42906982,-0.8955776,-0.0077846,0.64460605,-1.381937,0.35517534,-0.9910986999999999,0.90720809,-1.253801,0.28578784,-0.6293333999999999,1.01898017,-1.2972914,0.89775146,-3.1725452,0.82212312,1.23478315,-1.3906003,-0.7098647,-0.48799170000000003,-0.686902,2.83387247,-1.051879,-0.6078458999999999,0.05779625,1.35742165,1.52801012,1.81136882,-0.7579180999999999,0.41062128,-1.7452838,-1.0579798,1.75271043,-1.3046528,-1.7618253000000001,1.26537929,-1.3205334999999998,-0.6098642,0.4138255,-0.8886235999999998,1.11439434,1.51901652,-0.7989845999999999
1,0.57783454,-1.5824628,1.9156734,1.53354229,0.91145558,0.63551099,-0.8657869,1.42854396,1.01144814,-1.4327023,0.47081565,-1.0905315,1.04155909,-1.1957256,0.72988308,-0.5778345,1.4112958,-1.3315780000000002,1.46816194,-3.0820564999999998,0.44471506,1.35818829,-1.1961578000000002,-0.6900758,-0.3181873,-0.6167796,3.08292902,-1.0270857,-0.7866171999999999,-0.567376,1.57713347,0.14129175,1.96427284,-0.6007942,0.31356115,-1.7832403000000001,-1.0387466,1.93806018,-1.6697069,-1.8409512,1.01719093,-1.3903486999999999,0.26017307,0.33185241,-0.632372,1.27866571,1.68205286,-0.6197664
1,0.82797192,-1.5411615,1.43784398,1.5654561000000002,0.93982483,1.06753442,-0.8877379000000001,1.45206624,1.84228684,-1.2608813,1.07539135,-1.0182167,1.0602513999999998,-1.3333858,1.39816787,-0.8279719000000001,2.42930457,-1.1476011000000002,1.4056511999999999,-3.0725314,0.88379111,0.33446218,-1.399359,-0.7692314,-0.4848664000000001,-0.5887306,3.11758037,-0.8899931999999999,-0.5587329000000001,-0.2639591,1.60770207,-0.6952059,1.42977356,-0.7100978,0.57322853,-1.8150747,-1.1051883999999998,1.96384797,-1.4289544,-1.7595645,1.81612108,-1.4528697,-0.10785750000000001,0.16426298,-0.5640383000000001,1.30152085,1.70473617,-0.7010923000000001
1,0.38655300000000004,-1.071359,1.32153024,1.51758539,0.89727095,1.64962915,-1.3393012,1.41678283,0.96789611,-1.3285684,1.47303175,-1.0879488000000002,1.03221293,-1.3807065,0.31006315,-0.38655300000000004,1.42336705,-1.3633558000000001,0.66177342,-2.9963304,0.46938225,1.34960359,-0.9053699000000001,-0.8853263000000001,-0.3161038,-0.3694387,3.06560335,-0.7499838000000001,-0.4408617,-0.3706551,1.56184917,-0.48811179999999993,1.95363604,-0.8376186,0.65390189,-1.7709962,-0.8988690999999999,0.12969134,-1.1829681,-1.886166,1.65538957,-1.3653403,0.20851965,0.73260974,-0.7104678000000001,1.26723813,1.6707112000000002,-0.7462734000000001
1,0.90889873,-1.2288203000000002,2.6277021,1.45176317,0.83875937,0.56047534,-0.9582947,1.36826815,1.15047962,-1.5329312,1.38579431,-1.0272561,0.99366003,-1.3656499,0.20296622,-0.9088987,1.45756893,-1.2805662,1.25406266,-3.001093,0.81718968,0.3140735,-1.5237321000000001,-0.8101284000000001,-0.5463294,-0.5160583,2.99413495,-0.4918416,-0.34460019999999997,-0.43900730000000004,1.49880143,1.67825486,1.90975923,-0.3480298,0.96272959,-1.6718196,-0.9915379000000001,1.87197897,-1.2863347,-1.6126163999999998,1.15192176,-1.2996931999999999,0.53296769,1.88934113,-0.9276715,1.22009939,1.62392686,-0.6483810999999999
2,1.31353274,2.72836158,0.52933937,0.62399886,0.10293186,0.1261781,-0.9159606,0.75815925,1.21915782,-0.7766586,0.56008186,-1.1886729999999999,-1.8207012999999999,-0.38697220000000004,-1.0179386000000001,-1.3135326999999999,0.69104454,-1.5841281,0.9899548,-1.9136415,-1.4151913,0.86886009,-1.1611231000000002,-0.9460122999999999,-0.8390595999999999,-1.0247645,-0.0140349,1.70893056,0.52961126,0.00944959,0.70592833,0.8356661,1.35797515,3.29769855,0.58583374,-1.5750918,-0.5246967,1.20310814,-0.850625,-1.5018402,-0.17884049999999999,-1.8530042000000002,-1.5573816,-0.7647653,-1.481663,0.62729402,1.03557836,-1.149891
